coin,symbol,price,chain,1h,24h,24hVolume,fdv,numOfHolders,holderChange,lastAdded
Xircus,XIRCUS,$0.139893,Binance Smart Chain,-2.310117061565443,-12.041292585974467,"$52,255.90","$13,984,762",-,-,12 days
KingSpeed,KSC,$0.139335,Binance Smart Chain,0.25658850383926884,-8.571310921106672,"$61,445.66","$27,884,211",-,-,4 days
Luxy,LUXY,$0.138445,Polygon POS,-1.7436587997437,-0.3916454304176651,"$35,093.84","$13,848,742",-,-,8 days
SuperPlayer World,HONOR,$0.135587,Binance Smart Chain,1.5747067026475972,-1.9986664882681533,"$217,290","$81,376,486",-,-,9 days
MADworld,UMAD,$0.132080,ethereum,0.30264482897585215,-10.902445376001364,"$277,219","$1,346,647,116",-,-,12 days
Plastiks,PLASTIK,$0.130899,Binance Smart Chain,-0.48593964614823604,-13.11289052888629,"$141,175",?,-,-,6 days
bePAY Finance,BECOIN,$0.130424,ethereum,8.355880736440065,4.555504219025471,"$10,523.43","$131,019,345",-,-,3 days
Kryxivia Game,KXA,$0.129923,Binance Smart Chain,2.837956872696386,19.479503271619343,"$2,344,608","$32,021,773",-,-,4 days
NuNet,NTX,$0.126546,ethereum,-1.917973825144898,2.708606945293636,"$144,646","$80,732,452",-,-,11 days
Run,RUN,$0.120784,Solana,-0.5587280180685696,-9.1225519009471,"$491,071","$120,784,318",0,-,14 hours
Vigorus,VIS,$0.119252,Polygon POS,3.2964017496184024,-16.922483244604113,"$770,312",?,-,-,4 days
Metapay,MPAY,$0.116223,Binance Smart Chain,-2.9499783032397713,-4.2261586938807465,"$92,105.64","$1,229,048",-,-,10 days
Brainiac,BRAINS,$0.115400,ethereum,5.617637510861311,8.037997196927522,"$1,273,788","$3,385,612",-,-,21 hours
Credefi,CREDI,$0.115373,,2.9191329391526835,-63.68857440599485,"$7,488,935",?,-,-,11 hours
ArcadeNetwork,ARC,$0.111994,Binance Smart Chain,0.28390431140856764,-5.421536149270178,"$176,505","$25,646,657",-,-,3 days
Particle Technology,PART,$0.105677,Solana,-6.454060804701142,-31.667466520231617,"$23,947.86",?,-,-,2 days
Liquid ICP,LICP,$0.102237,Polygon POS,-0.8658773567745909,-4.76578490276895,"$15,287.71","$1,023,817",-,-,2 days
Beast Masters,MASTER,$0.100850,Binance Smart Chain,-4.42611283181293,-39.33103093519753,"$14,429,587","$31,066,961",-,-,19 hours
Elysian Token,ELS,$0.095004941559,XRP Ledger,-6.147784148319719,-5.189966279053559,"$178,597",?,-,-,11 days
THX Network,THX,$0.094493029572,ethereum,0.05380217672190466,-1.0874169073156497,"$22,316.92","$9,446,044",-,-,1 day
Miaw,MIAW,$0.093450612954,Terra,-2.096458515281927,2.8082921250213664,"$18,921.49","$2,801,170",-,-,9 days
SOLACE,SOLACE,$0.091902375668,ethereum,-0.36293333006351924,-0.8286631843206342,"$18,971.85",?,-,-,3 days
Twelve Legions,CTL,$0.087256409750,Binance Smart Chain,-0.7002036613407788,-18.61638210893331,"$298,182","$19,217,530",-,-,3 days
DoragonLand,DOR,$0.079542497778,Binance Smart Chain,-7.273715389664052,-34.850589347105,"$736,186","$80,021,582",-,-,8 days
Sif,SIF,$0.078119957792,Binance Smart Chain,8.216298248930524,87.49215283870846,"$425,662","$781,199,578",-,-,1 day
DopeWarz,DRUG,$0.073169897365,Binance Smart Chain,0.43354093797444115,12.233773447852256,"$271,663","$73,192,778",-,-,5 days
Rizon,ATOLO,$0.069850205267,,0.8656221380740595,-14.40204023584339,"$65,814.05",?,-,-,10 days
